Date,Open,High,Low,Close,Adj Close,Volume
1982-02-26,7.865825,7.897101,7.818912,7.865825,2.571123,1049539
1982-03-01,7.897101,7.944014,7.834549,7.912738,2.586457,1844087
1982-03-02,7.897101,7.975290,7.818912,7.818912,2.555787,4314859
1982-03-03,7.662533,7.740722,7.568706,7.646895,2.531969,2338081
1982-03-04,7.615620,7.709447,7.521793,7.521793,2.490546,2342877
1982-03-05,7.553069,7.584344,7.521793,7.537431,2.495724,1884853
1982-03-08,7.584344,7.646895,7.506155,7.506155,2.485369,2959971
1982-03-09,7.584344,7.678171,7.474879,7.584344,2.511258,2716171
1982-03-10,7.615620,7.662533,7.553069,7.584344,2.511258,2791309
1982-03-11,7.615620,7.646895,7.568706,7.584344,2.511258,2302111
1982-03-12,7.490517,7.553069,7.412328,7.412328,2.454303,1752162
1982-03-15,7.443604,7.490517,7.381052,7.490517,2.480191,1105493
1982-03-16,7.521793,7.584344,7.443604,7.443604,2.464660,1307727
1982-03-17,7.474879,7.506155,7.443604,7.474879,2.475013,2015146
1982-03-18,7.537431,7.584344,7.474879,7.553069,2.500904,1116684
1982-03-19,7.537431,7.568706,7.506155,7.506155,2.485369,1807317
1982-03-22,7.584344,7.646895,7.521793,7.615620,2.521613,2302910
1982-03-23,7.693809,7.725085,7.646895,7.725085,2.557859,1509161
1982-03-24,7.693809,7.740722,7.646895,7.678171,2.542325,2184607
1982-03-25,7.740722,7.803274,7.662533,7.725085,2.557859,2123058
1982-03-26,7.693809,7.725085,7.646895,7.693809,2.547503,1199815
1982-03-29,7.740722,7.787636,7.693809,7.787636,2.578570,1289342
1982-03-30,7.787636,7.834549,7.740722,7.803274,2.583748,1039147
1982-03-31,7.897101,8.006565,7.771998,7.928376,2.625170,2318897
1982-04-01,8.006565,8.084754,7.912738,8.053479,2.666594,2244558
1982-04-02,8.053479,8.069117,8.022203,8.037841,2.661417,1604283
1982-04-05,8.069117,8.116030,8.006565,8.037841,2.661417,1401250
1982-04-06,8.037841,8.069117,7.990928,8.069117,2.671770,1101496
1982-04-07,8.037841,8.084754,7.975290,7.975290,2.640705,1250174
1982-04-08,8.022203,8.084754,7.959652,8.037841,2.661417,1500369
1982-04-12,8.006565,8.037841,7.959652,7.990928,2.645883,1107091
1982-04-13,8.022203,8.069117,7.959652,7.990928,2.645883,995983
